  1 2018-02-13 20:51:37.259944    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=1/256, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  2 2018-02-13 20:51:37.259988    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=2/512, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  3 2018-02-13 20:51:37.259996    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=3/768, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  4 2018-02-13 20:51:37.260001    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=4/1024, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  5 2018-02-13 20:51:37.260006    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=5/1280, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  6 2018-02-13 20:51:37.260011    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=6/1536, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  7 2018-02-13 20:51:37.260015    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=7/1792, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  8 2018-02-13 20:51:37.260020    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=8/2048, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  9 2018-02-13 20:51:37.260023    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=9/2304, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
 10 2018-02-13 20:51:37.260044    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=10/2560, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
 11 2018-02-13 20:51:37.260049    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=11/2816, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
