  1 2018-03-08 18:27:47.196113 2c:23:3a:3f:42:9f -> LLDP_Multicast LLDP TTL = 121 System Name = cl3 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:42:9f -> 01:80:c2:00:00:0e
  2 2018-03-08 18:27:47.716438    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=1/256, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  3 2018-03-08 18:27:47.716464    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=2/512, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  4 2018-03-08 18:27:47.716471    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=3/768, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  5 2018-03-08 18:27:47.716480    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=4/1024, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  6 2018-03-08 18:27:47.716511    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=5/1280, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  7 2018-03-08 18:27:47.716523    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=6/1536, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  8 2018-03-08 18:27:47.716544    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=7/1792, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  9 2018-03-08 18:27:47.716554    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=12/3072, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 10 2018-03-08 18:27:47.716574    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=22/5632, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 11 2018-03-08 18:27:47.716606    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=26/6656, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 12 2018-03-08 18:27:47.716631    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=29/7424, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 13 2018-03-08 18:27:47.716657    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=33/8448, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 14 2018-03-08 18:27:47.716687    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=36/9216, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 15 2018-03-08 18:27:47.716714    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=39/9984, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 16 2018-03-08 18:27:47.716743    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=42/10752, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 17 2018-03-08 18:27:47.716771    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=45/11520, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
