  1 2018-03-08 18:28:17.191434 2c:23:3a:3f:42:9f -> LLDP_Multicast LLDP TTL = 121 System Name = cl3 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:42:9f -> 01:80:c2:00:00:0e
 30 2018-03-08 18:28:17.277169    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=119/30464, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 31 2018-03-08 18:28:17.277178    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=123/31488, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 32 2018-03-08 18:28:17.277197    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=126/32256, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 33 2018-03-08 18:28:17.277222    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=131/33536, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 34 2018-03-08 18:28:17.277231    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=134/34304, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 35 2018-03-08 18:28:17.277244    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=140/35840, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 36 2018-03-08 18:28:17.277253    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=143/36608, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 37 2018-03-08 18:28:17.277280    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=159/40704, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 38 2018-03-08 18:28:17.277289    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=165/42240, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 39 2018-03-08 18:28:17.277309    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=169/43264, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 40 2018-03-08 18:28:17.277317    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=173/44288, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 41 2018-03-08 18:28:17.277343    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=178/45568, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
