  1 2018-03-08 18:26:53.927668    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=1/256, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  2 2018-03-08 18:26:53.927692    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=2/512, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  3 2018-03-08 18:26:53.927696    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=3/768, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  4 2018-03-08 18:26:53.927700    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=4/1024, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  5 2018-03-08 18:26:53.927704    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=5/1280, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  6 2018-03-08 18:26:53.927707    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=6/1536, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  7 2018-03-08 18:26:53.927711    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=7/1792, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  8 2018-03-08 18:26:53.927713    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=8/2048, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
  9 2018-03-08 18:26:53.927716    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=9/2304, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
 10 2018-03-08 18:26:53.927720    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=10/2560, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
 11 2018-03-08 18:26:53.927724    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=11/2816, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
 12 2018-03-08 18:26:53.927727    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=12/3072, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24
